index,type,q0,q1,q2,q3
53,mixed,-0.5000000000,0.0000000000,0.8090169944,-0.3090169944
54,mixed,-0.5000000000,0.0000000000,-0.8090169944,0.3090169944
55,mixed,-0.5000000000,0.0000000000,-0.8090169944,-0.3090169944
56,mixed,0.5000000000,0.3090169944,0.0000000000,0.8090169944
57,mixed,0.5000000000,0.3090169944,0.0000000000,-0.8090169944
58,mixed,0.5000000000,-0.3090169944,0.0000000000,0.8090169944
59,mixed,0.5000000000,-0.3090169944,0.0000000000,-0.8090169944
60,mixed,-0.5000000000,0.3090169944,0.0000000000,0.8090169944
61,mixed,-0.5000000000,0.3090169944,0.0000000000,-0.8090169944
62,mixed,-0.5000000000,-0.3090169944,0.0000000000,0.8090169944
63,mixed,-0.5000000000,-0.3090169944,0.0000000000,-0.8090169944
64,mixed,0.5000000000,0.8090169944,0.3090169944,0.0000000000
65,mixed,0.5000000000,0.8090169944,-0.3090169944,0.0000000000
66,mixed,0.5000000000,-0.8090169944,0.3090169944,0.0000000000
67,mixed,0.5000000000,-0.8090169944,-0.3090169944,0.0000000000
68,mixed,-0.5000000000,0.8090169944,0.3090169944,0.0000000000
69,mixed,-0.5000000000,0.8090169944,-0.3090169944,0.0000000000
70,mixed,-0.5000000000,-0.8090169944,0.3090169944,0.0000000000
71,mixed,-0.5000000000,-0.8090169944,-0.3090169944,0.0000000000
72,mixed,0.3090169944,0.0000000000,0.5000000000,0.8090169944
73,mixed,0.3090169944,0.0000000000,0.5000000000,-0.8090169944
74,mixed,0.3090169944,0.0000000000,-0.5000000000,0.8090169944
75,mixed,0.3090169944,0.0000000000,-0.5000000000,-0.8090169944
76,mixed,-0.3090169944,0.0000000000,0.5000000000,0.8090169944
77,mixed,-0.3090169944,0.0000000000,0.5000000000,-0.8090169944
78,mixed,-0.3090169944,0.0000000000,-0.5000000000,0.8090169944
79,mixed,-0.3090169944,0.0000000000,-0.5000000000,-0.8090169944
80,mixed,0.3090169944,0.5000000000,0.8090169944,0.0000000000
81,mixed,0.3090169944,0.5000000000,-0.8090169944,0.0000000000
82,mixed,0.3090169944,-0.5000000000,0.8090169944,0.0000000000
83,mixed,0.3090169944,-0.5000000000,-0.8090169944,0.0000000000
84,mixed,-0.3090169944,0.5000000000,0.8090169944,0.0000000000
85,mixed,-0.3090169944,0.5000000000,-0.8090169944,0.0000000000
86,mixed,-0.3090169944,-0.5000000000,0.8090169944,0.0000000000
87,mixed,-0.3090169944,-0.5000000000,-0.8090169944,0.0000000000
88,mixed,0.3090169944,0.8090169944,0.0000000000,0.5000000000
89,mixed,0.3090169944,0.8090169944,0.0000000000,-0.5000000000
