state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells
S00075,"2,3,4",1,baryon,closure_corrected,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00076,"2,3,4",1,baryon,closure_corrected,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00077,"2,3,4",1,baryon,closure_corrected,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.87983739,4.65967478,7.53951216",3
S00078,"2,3,4",1,baryon,closure_corrected,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00079,"2,3,4",1,baryon,closure_corrected,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00080,"2,3,4",1,baryon,closure_corrected,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.87983739,4.65967478,7.53951216",3
S00081,"2,3,4",2,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00082,"2,3,4",2,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00083,"2,3,4",2,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00084,"2,3,4",2,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00085,"2,3,4",2,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00086,"2,3,4",2,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00087,"2,3,4",2,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00088,"2,3,4",2,baryon,linear,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00089,"2,3,4",2,baryon,linear,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00090,"2,3,4",2,baryon,phi_scaled,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00091,"2,3,4",2,baryon,phi_scaled,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00092,"2,3,4",2,baryon,phi_scaled,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00093,"2,3,4",2,baryon,phi_scaled,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00094,"2,3,4",2,baryon,phi_scaled,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00095,"2,3,4",2,baryon,phi_scaled,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00096,"2,3,4",2,baryon,phi_scaled,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00097,"2,3,4",2,baryon,phi_scaled,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00098,"2,3,4",2,baryon,phi_scaled,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00099,"2,3,4",2,baryon,closure_corrected,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00100,"2,3,4",2,baryon,closure_corrected,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00101,"2,3,4",2,baryon,closure_corrected,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","3.14164079,5.08328157,8.22492236",3
S00102,"2,3,4",2,baryon,closure_corrected,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00103,"2,3,4",2,baryon,closure_corrected,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00104,"2,3,4",2,baryon,closure_corrected,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","3.14164079,5.08328157,8.22492236",3
S00105,"2,3,4",2,baryon,closure_corrected,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00106,"2,3,4",2,baryon,closure_corrected,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","3.14164079,5.08328157,8.22492236",3
S00107,"2,3,4",2,baryon,closure_corrected,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","3.14164079,5.08328157,8.22492236",3
S00108,"2,3,4",3,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00109,"2,3,4",3,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00110,"2,3,4",3,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00111,"2,3,4",3,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00112,"2,3,4",3,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00113,"2,3,4",3,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00114,"2,3,4",3,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00115,"2,3,4",3,baryon,linear,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00116,"2,3,4",3,baryon,linear,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00117,"2,3,4",3,baryon,phi_scaled,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00118,"2,3,4",3,baryon,phi_scaled,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00119,"2,3,4",3,baryon,phi_scaled,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00120,"2,3,4",3,baryon,phi_scaled,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00121,"2,3,4",3,baryon,phi_scaled,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00122,"2,3,4",3,baryon,phi_scaled,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00123,"2,3,4",3,baryon,phi_scaled,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00124,"2,3,4",3,baryon,phi_scaled,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00125,"2,3,4",3,baryon,phi_scaled,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
