freq_law,amp_law,phase_law,energy_law,E_electron,E_proton,E_neutron,predicted_mp_me,observed_mp_me,pct_error_mp_me,predicted_mn_mp,observed_mn_mp,pct_error_mn_mp,hierarchy_correct,e_shells,p_shells,n_shells
linear,phi_decaying,winding_parity,phi_growing_2,2.618033988750e+00,4.037461119236e+01,4.037461119236e+01,15.421729,1836.152673,99.1601,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,exact_closure,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,torsional_offset,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,winding_parity,phi_growing_2,4.659674781468e+00,6.764552708133e+01,6.764552708133e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,exact_closure,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,torsional_offset,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,winding_parity,phi_growing_2,4.236067980773e+00,6.149593372661e+01,6.149593372661e+01,14.517221,1836.152673,99.2094,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,exact_closure,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,torsional_offset,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,winding_parity,phi_growing_2,4.659674781468e+00,5.083886054597e+01,5.083886054597e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,exact_closure,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,torsional_offset,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,uniform,winding_parity,phi_growing_2,4.236067980773e+00,4.621714597978e+01,4.621714597978e+01,10.910388,1836.152673,99.4058,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,exact_closure,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,torsional_offset,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,winding_parity,phi_growing_2,2.618033988750e+00,2.838398551204e+01,2.838398551204e+01,10.841718,1836.152673,99.4095,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,exact_closure,phi_growing_2,2.618033988750e+00,2.462294260338e+01,2.462294260338e+01,9.405127,1836.152673,99.4878,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,torsional_offset,phi_growing_2,2.618033988750e+00,2.462294260338e+01,2.895468392029e+01,9.405127,1836.152673,99.4878,1.17592298,1.00137842,17.4304,True,1,"2,3,4","2,3,4,5"
closure_corrected,closure_weight,exact_closure,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,torsional_offset,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,closure_weight,winding_parity,phi_growing_2,4.659674781468e+00,3.884183211135e+01,3.884183211135e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,exact_closure,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,torsional_offset,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,closure_weight,winding_parity,phi_growing_2,4.236067980773e+00,3.531075646415e+01,3.531075646415e+01,8.335739,1836.152673,99.5460,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,closure_weight,winding_parity,phi_growing_2,3.584738873503e+00,2.462294260338e+01,2.462294260338e+01,6.868825,1836.152673,99.6259,1.00000000,1.00137842,0.1377,False,"1,2","2,3,4","2,3,4"
