dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
D. Closure-flow + tau-broken noise,178.0,9.968258e-01,3.174219e-03,3.184327e-03
D. Closure-flow + tau-broken noise,179.0,9.962929e-01,3.707100e-03,3.720894e-03
D. Closure-flow + tau-broken noise,180.0,9.958667e-01,4.133292e-03,4.150447e-03
D. Closure-flow + tau-broken noise,181.0,9.960779e-01,3.922100e-03,3.937543e-03
D. Closure-flow + tau-broken noise,182.0,9.963973e-01,3.602677e-03,3.615703e-03
D. Closure-flow + tau-broken noise,183.0,9.955886e-01,4.411364e-03,4.430911e-03
D. Closure-flow + tau-broken noise,184.0,9.959776e-01,4.022403e-03,4.038648e-03
D. Closure-flow + tau-broken noise,185.0,9.948016e-01,5.198376e-03,5.225541e-03
D. Closure-flow + tau-broken noise,186.0,9.936249e-01,6.375121e-03,6.416024e-03
D. Closure-flow + tau-broken noise,187.0,9.941491e-01,5.850878e-03,5.885312e-03
D. Closure-flow + tau-broken noise,188.0,9.940171e-01,5.982947e-03,6.018959e-03
D. Closure-flow + tau-broken noise,189.0,9.929697e-01,7.030332e-03,7.080108e-03
D. Closure-flow + tau-broken noise,190.0,9.921105e-01,7.889510e-03,7.952250e-03
D. Closure-flow + tau-broken noise,191.0,9.920974e-01,7.902559e-03,7.965507e-03
D. Closure-flow + tau-broken noise,192.0,9.915768e-01,8.423210e-03,8.494764e-03
D. Closure-flow + tau-broken noise,193.0,9.918740e-01,8.125952e-03,8.192524e-03
D. Closure-flow + tau-broken noise,194.0,9.956802e-01,4.319769e-03,4.338510e-03
D. Closure-flow + tau-broken noise,195.0,9.932560e-01,6.744039e-03,6.789830e-03
D. Closure-flow + tau-broken noise,196.0,9.931826e-01,6.817446e-03,6.864243e-03
D. Closure-flow + tau-broken noise,197.0,9.941404e-01,5.859637e-03,5.894174e-03
D. Closure-flow + tau-broken noise,198.0,9.947521e-01,5.247851e-03,5.275536e-03
D. Closure-flow + tau-broken noise,199.0,9.944848e-01,5.515175e-03,5.545761e-03
D. Closure-flow + tau-broken noise,200.0,9.951856e-01,4.814359e-03,4.837649e-03
