dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
C. Inverse iteration on C_phi,128.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,129.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,130.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,131.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,132.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,133.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,134.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,135.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,136.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,137.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,138.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,139.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,140.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,141.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,142.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,143.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,144.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,145.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,146.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,147.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,148.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,149.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,150.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,151.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,152.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,153.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,154.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,155.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,156.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,157.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,158.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,159.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,160.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,161.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,162.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,163.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,164.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,165.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,166.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,167.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,168.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,169.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,170.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,171.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,172.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,173.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,174.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,175.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,176.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,177.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,178.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,179.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,180.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,181.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,182.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,183.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,184.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,185.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,186.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,187.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,188.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,189.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,190.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,191.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,192.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,193.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,194.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,195.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,196.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,197.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,198.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,199.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,200.0,1.000000e+00,-1.566951e-16,-1.566951e-16
D. Closure-flow + tau-broken noise,0.0,8.087862e-01,1.912138e-01,2.364207e-01
D. Closure-flow + tau-broken noise,1.0,7.687594e-01,2.312406e-01,3.007971e-01
D. Closure-flow + tau-broken noise,2.0,6.889975e-01,3.110025e-01,4.513841e-01
D. Closure-flow + tau-broken noise,3.0,5.782796e-01,4.217204e-01,7.292673e-01
D. Closure-flow + tau-broken noise,4.0,4.627099e-01,5.372901e-01,1.161181e+00
D. Closure-flow + tau-broken noise,5.0,3.739723e-01,6.260277e-01,1.673995e+00
D. Closure-flow + tau-broken noise,6.0,3.481417e-01,6.518583e-01,1.872394e+00
D. Closure-flow + tau-broken noise,7.0,3.547898e-01,6.452102e-01,1.818571e+00
D. Closure-flow + tau-broken noise,8.0,3.988031e-01,6.011969e-01,1.507503e+00
D. Closure-flow + tau-broken noise,9.0,4.410174e-01,5.589826e-01,1.267484e+00
D. Closure-flow + tau-broken noise,10.0,4.913696e-01,5.086304e-01,1.035128e+00
D. Closure-flow + tau-broken noise,11.0,5.496249e-01,4.503751e-01,8.194225e-01
D. Closure-flow + tau-broken noise,12.0,6.115295e-01,3.884705e-01,6.352440e-01
D. Closure-flow + tau-broken noise,13.0,6.705725e-01,3.294275e-01,4.912630e-01
D. Closure-flow + tau-broken noise,14.0,7.304862e-01,2.695138e-01,3.689513e-01
D. Closure-flow + tau-broken noise,15.0,7.735706e-01,2.264294e-01,2.927069e-01
D. Closure-flow + tau-broken noise,16.0,8.205174e-01,1.794826e-01,2.187432e-01
D. Closure-flow + tau-broken noise,17.0,8.566698e-01,1.433302e-01,1.673109e-01
D. Closure-flow + tau-broken noise,18.0,8.853555e-01,1.146445e-01,1.294898e-01
D. Closure-flow + tau-broken noise,19.0,9.017307e-01,9.826935e-02,1.089786e-01
D. Closure-flow + tau-broken noise,20.0,9.151020e-01,8.489801e-02,9.277437e-02
D. Closure-flow + tau-broken noise,21.0,9.398590e-01,6.014102e-02,6.398940e-02
D. Closure-flow + tau-broken noise,22.0,9.555831e-01,4.441694e-02,4.648151e-02
D. Closure-flow + tau-broken noise,23.0,9.620273e-01,3.797268e-02,3.947152e-02
D. Closure-flow + tau-broken noise,24.0,9.664941e-01,3.350593e-02,3.466750e-02
D. Closure-flow + tau-broken noise,25.0,9.715111e-01,2.848887e-02,2.932429e-02
D. Closure-flow + tau-broken noise,26.0,9.770891e-01,2.291091e-02,2.344813e-02
D. Closure-flow + tau-broken noise,27.0,9.839802e-01,1.601983e-02,1.628064e-02
D. Closure-flow + tau-broken noise,28.0,9.798750e-01,2.012501e-02,2.053835e-02
D. Closure-flow + tau-broken noise,29.0,9.884137e-01,1.158629e-02,1.172211e-02
D. Closure-flow + tau-broken noise,30.0,9.861751e-01,1.382490e-02,1.401871e-02
D. Closure-flow + tau-broken noise,31.0,9.887720e-01,1.122800e-02,1.135550e-02
D. Closure-flow + tau-broken noise,32.0,9.892548e-01,1.074516e-02,1.086187e-02
D. Closure-flow + tau-broken noise,33.0,9.850556e-01,1.494444e-02,1.517116e-02
D. Closure-flow + tau-broken noise,34.0,9.881064e-01,1.189358e-02,1.203674e-02
D. Closure-flow + tau-broken noise,35.0,9.875012e-01,1.249884e-02,1.265704e-02
D. Closure-flow + tau-broken noise,36.0,9.908415e-01,9.158457e-03,9.243110e-03
D. Closure-flow + tau-broken noise,37.0,9.928749e-01,7.125148e-03,7.176280e-03
D. Closure-flow + tau-broken noise,38.0,9.947867e-01,5.213294e-03,5.240615e-03
D. Closure-flow + tau-broken noise,39.0,9.940481e-01,5.951872e-03,5.987509e-03
D. Closure-flow + tau-broken noise,40.0,9.961976e-01,3.802389e-03,3.816902e-03
D. Closure-flow + tau-broken noise,41.0,9.970742e-01,2.925796e-03,2.934381e-03
D. Closure-flow + tau-broken noise,42.0,9.970801e-01,2.919878e-03,2.928429e-03
D. Closure-flow + tau-broken noise,43.0,9.959290e-01,4.070956e-03,4.087596e-03
D. Closure-flow + tau-broken noise,44.0,9.937036e-01,6.296438e-03,6.336334e-03
D. Closure-flow + tau-broken noise,45.0,9.961086e-01,3.891407e-03,3.906609e-03
D. Closure-flow + tau-broken noise,46.0,9.927522e-01,7.247771e-03,7.300685e-03
D. Closure-flow + tau-broken noise,47.0,9.940945e-01,5.905459e-03,5.940541e-03
D. Closure-flow + tau-broken noise,48.0,9.942803e-01,5.719726e-03,5.752629e-03
D. Closure-flow + tau-broken noise,49.0,9.956504e-01,4.349632e-03,4.368634e-03
D. Closure-flow + tau-broken noise,50.0,9.940701e-01,5.929907e-03,5.965281e-03
D. Closure-flow + tau-broken noise,51.0,9.944174e-01,5.582568e-03,5.613908e-03
D. Closure-flow + tau-broken noise,52.0,9.961594e-01,3.840635e-03,3.855443e-03
D. Closure-flow + tau-broken noise,53.0,9.948361e-01,5.163877e-03,5.190681e-03
D. Closure-flow + tau-broken noise,54.0,9.919448e-01,8.055212e-03,8.120625e-03
D. Closure-flow + tau-broken noise,55.0,9.927026e-01,7.297376e-03,7.351019e-03
D. Closure-flow + tau-broken noise,56.0,9.931382e-01,6.861801e-03,6.909211e-03
D. Closure-flow + tau-broken noise,57.0,9.942793e-01,5.720738e-03,5.753653e-03
D. Closure-flow + tau-broken noise,58.0,9.926252e-01,7.374847e-03,7.429640e-03
D. Closure-flow + tau-broken noise,59.0,9.920767e-01,7.923322e-03,7.986603e-03
D. Closure-flow + tau-broken noise,60.0,9.915926e-01,8.407376e-03,8.478659e-03
D. Closure-flow + tau-broken noise,61.0,9.949058e-01,5.094199e-03,5.120282e-03
D. Closure-flow + tau-broken noise,62.0,9.951470e-01,4.853013e-03,4.876680e-03
D. Closure-flow + tau-broken noise,63.0,9.944971e-01,5.502875e-03,5.533324e-03
D. Closure-flow + tau-broken noise,64.0,9.955635e-01,4.436548e-03,4.456318e-03
D. Closure-flow + tau-broken noise,65.0,9.949749e-01,5.025056e-03,5.050435e-03
D. Closure-flow + tau-broken noise,66.0,9.938871e-01,6.112896e-03,6.150493e-03
D. Closure-flow + tau-broken noise,67.0,9.962935e-01,3.706524e-03,3.720314e-03
D. Closure-flow + tau-broken noise,68.0,9.966243e-01,3.375748e-03,3.387182e-03
D. Closure-flow + tau-broken noise,69.0,9.967008e-01,3.299154e-03,3.310074e-03
D. Closure-flow + tau-broken noise,70.0,9.962640e-01,3.735981e-03,3.749991e-03
D. Closure-flow + tau-broken noise,71.0,9.929104e-01,7.089566e-03,7.140187e-03
D. Closure-flow + tau-broken noise,72.0,9.947732e-01,5.226809e-03,5.254272e-03
D. Closure-flow + tau-broken noise,73.0,9.949746e-01,5.025399e-03,5.050781e-03
D. Closure-flow + tau-broken noise,74.0,9.959891e-01,4.010935e-03,4.027088e-03
D. Closure-flow + tau-broken noise,75.0,9.971552e-01,2.844775e-03,2.852891e-03
D. Closure-flow + tau-broken noise,76.0,9.961522e-01,3.847772e-03,3.862634e-03
D. Closure-flow + tau-broken noise,77.0,9.956259e-01,4.374135e-03,4.393352e-03
D. Closure-flow + tau-broken noise,78.0,9.961625e-01,3.837466e-03,3.852248e-03
D. Closure-flow + tau-broken noise,79.0,9.938199e-01,6.180066e-03,6.218497e-03
D. Closure-flow + tau-broken noise,80.0,9.950563e-01,4.943705e-03,4.968267e-03
D. Closure-flow + tau-broken noise,81.0,9.962724e-01,3.727600e-03,3.741547e-03
D. Closure-flow + tau-broken noise,82.0,9.978636e-01,2.136365e-03,2.140939e-03
D. Closure-flow + tau-broken noise,83.0,9.982683e-01,1.731745e-03,1.734750e-03
D. Closure-flow + tau-broken noise,84.0,9.967384e-01,3.261582e-03,3.272254e-03
D. Closure-flow + tau-broken noise,85.0,9.955493e-01,4.450699e-03,4.470597e-03
D. Closure-flow + tau-broken noise,86.0,9.947258e-01,5.274157e-03,5.302122e-03
D. Closure-flow + tau-broken noise,87.0,9.941614e-01,5.838587e-03,5.872876e-03
D. Closure-flow + tau-broken noise,88.0,9.959988e-01,4.001241e-03,4.017315e-03
