Re,Im,abs_L_sub
0.1175,-41.2500,7.560392e+04
0.1400,-41.2500,5.784768e+04
0.1625,-41.2500,4.431029e+04
0.1850,-41.2500,3.398512e+04
0.2075,-41.2500,2.610611e+04
0.2300,-41.2500,2.009020e+04
0.2525,-41.2500,1.549360e+04
0.2750,-41.2500,1.197851e+04
0.2975,-41.2500,9.287746e+03
0.3200,-41.2500,7.225506e+03
0.3425,-41.2500,5.642677e+03
0.3650,-41.2500,4.425691e+03
0.3875,-41.2500,3.488032e+03
0.4100,-41.2500,2.763779e+03
0.4325,-41.2500,2.202695e+03
0.4550,-41.2500,1.766486e+03
0.4775,-41.2500,1.425959e+03
0.5000,-41.2500,1.158862e+03
0.5225,-41.2500,9.482260e+02
0.5450,-41.2500,7.811177e+02
0.5675,-41.2500,6.476735e+02
0.5900,-41.2500,5.403698e+02
0.6125,-41.2500,4.534629e+02
0.6350,-41.2500,3.825611e+02
0.6575,-41.2500,3.242988e+02
0.6800,-41.2500,2.760886e+02
0.7025,-41.2500,2.359326e+02
0.7250,-41.2500,2.022803e+02
0.7475,-41.2500,1.739205e+02
0.7700,-41.2500,1.499008e+02
0.7925,-41.2500,1.294664e+02
0.8150,-41.2500,1.120145e+02
0.8375,-41.2500,9.705935e+01
0.8600,-41.2500,8.420677e+01
0.8825,-41.2500,7.313405e+01
0.9050,-41.2500,6.357507e+01
0.9275,-41.2500,5.530875e+01
0.9500,-41.2500,4.815027e+01
0.0500,-40.0000,1.783441e+05
0.0725,-40.0000,1.395270e+05
0.0950,-40.0000,1.092758e+05
0.1175,-40.0000,8.568503e+04
0.1400,-40.0000,6.727526e+04
0.1625,-40.0000,5.289750e+04
0.1850,-40.0000,4.165909e+04
0.2075,-40.0000,3.286628e+04
0.2300,-40.0000,2.597973e+04
0.2525,-40.0000,2.057997e+04
0.2750,-40.0000,1.634061e+04
0.2975,-40.0000,1.300760e+04
0.3200,-40.0000,1.038307e+04
0.3425,-40.0000,8.312827e+03
0.3650,-40.0000,6.676683e+03
0.3875,-40.0000,5.380863e+03
0.4100,-40.0000,4.352170e+03
0.4325,-40.0000,3.533431e+03
0.4550,-40.0000,2.879958e+03
0.4775,-40.0000,2.356793e+03
0.5000,-40.0000,1.936567e+03
0.5225,-40.0000,1.597833e+03
0.5450,-40.0000,1.323768e+03
0.5675,-40.0000,1.101158e+03
0.5900,-40.0000,9.196111e+02
0.6125,-40.0000,7.709406e+02
0.6350,-40.0000,6.486840e+02
0.6575,-40.0000,5.477293e+02
0.6800,-40.0000,4.640217e+02
0.7025,-40.0000,3.943362e+02
0.7250,-40.0000,3.360988e+02
0.7475,-40.0000,2.872481e+02
0.7700,-40.0000,2.461267e+02
0.7925,-40.0000,2.113968e+02
0.8150,-40.0000,1.819739e+02
0.8375,-40.0000,1.569747e+02
0.8600,-40.0000,1.356771e+02
0.8825,-40.0000,1.174880e+02
0.9050,-40.0000,1.019180e+02
0.9275,-40.0000,8.856207e+01
0.9500,-40.0000,7.708299e+01
0.0500,-38.7500,8.825608e+04
0.0725,-38.7500,6.865076e+04
0.0950,-38.7500,5.347780e+04
0.1175,-38.7500,4.172298e+04
0.1400,-38.7500,3.260608e+04
0.1625,-38.7500,2.552661e+04
0.1850,-38.7500,2.002214e+04
0.2075,-38.7500,1.573632e+04
0.2300,-38.7500,1.239438e+04
0.2525,-38.7500,9.784299e+03
0.2750,-38.7500,7.742335e+03
0.2975,-38.7500,6.141937e+03
0.3200,-38.7500,4.885202e+03
0.3425,-38.7500,3.896320e+03
0.3650,-38.7500,3.116523e+03
0.3875,-38.7500,2.500204e+03
0.4100,-38.7500,2.011926e+03
0.4325,-38.7500,1.624120e+03
0.4550,-38.7500,1.315307e+03
0.4775,-38.7500,1.068728e+03
0.5000,-38.7500,8.712872e+02
0.5225,-38.7500,7.127320e+02
0.5450,-38.7500,5.850238e+02
0.5675,-38.7500,4.818467e+02
0.5900,-38.7500,3.982289e+02
0.6125,-38.7500,3.302483e+02
0.6350,-38.7500,2.748039e+02
0.6575,-38.7500,2.294386e+02
0.6800,-38.7500,1.922005e+02
0.7025,-38.7500,1.615353e+02
0.7250,-38.7500,1.362021e+02
